pond_id,region,Event date,Initial entry,Pond status,Type,Logged by,Data verification method,Data verified by,Data verification notes,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Fish purchases diverted,Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Notes,Lifecycle is updated accordingly on the master doc,Created at
ara2_f0f921b2,Eluru,11/10/2024,Yes,Treatment,Stocking,Praveen,,,,Grow-out,2607.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,250.0,250.0,250.0,,,,,,,2607,,2607.0,,0.0,,,,,,0,,,,,,,,,,,12/20/2024 06:23
ara2_3ed4df8e,Eluru,11/09/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,3327.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,230.0,,,,,,,,,3327,50000.0,3327.0,50000.0,0.0,,,,,,0,,,,,,,,,The stocking density is beyond the recommended limits for a grow-out pond. But the farmer said he will partially harvest in around February (considering this pond as a breed-out pond for the time being) and transfer a part of these fishes into another one of his ponds. ,,01/24/2025 07:12
ara2_ee15e2a0,Nellore,11/09/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3044.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,300.0,100.0,300.0,,,,,,,3044,13000.0,3044.0,13000.0,0.0,,,,,,1,Sun dried the pond bottom and added lime,,,,,,,,,,12/13/2024 03:09
ara2_6608762c,Eluru,11/09/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,230.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,16000,,0,,0,,,,12/11/2024 08:38
ara2_9ea43968,Eluru,11/09/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1290.0,2100.0,1200.0,,,,,,,,,,,,,,,,,,,Planned harvest,42500,,0,,1,The farmer is planning to exchange the water in the pond and treat the bottom.,,,11/25/2024 08:34
ara2_163f5bc2,Eluru,11/08/2024,Yes,,Stocking,Praveen,,,,Grow-out,2409.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,160.0,,,,,,,,,2409,,2409.0,,0.0,,,,,,0,,,,,,,,,,,02/21/2025 07:35
ara2_7ed0eacc,Nellore,11/08/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2667.0,,"Rohu (Labeo rohita), Roopchand",5:5,,,200.0,,,,,,,,,3750,2812.0,2667.0,2000.0,812.0,,,,,,0,,,,,,,,,,Yes,12/13/2024 03:44
ara2_a1c0497f,Eluru,11/08/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,100.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,1000,,0,,0,,The farmer stocked 12000 fish but he could harvest 10000 fish. 2000 were either mortalities are predated.,,11/15/2024 04:25
ara2_c15dc3a2,Eluru,11/07/2024,Yes,,Stocking,Praveen,,,,Grow-out,2211.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,170.0,,,,,,,,,2211,,2211.0,,0.0,,,,,,0,,,,,,,,,,,02/21/2025 07:33
ara2_65a854d9,Nellore,11/07/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2059.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,400.0,,,,,,,,,3726,19000.0,2059.0,10500.0,8501.0,,,,,,1,"Sun dried the pond bottom, removed sludge and strengthened the dykes.",,,,,,,,,Yes,12/13/2024 03:02
ara2_0772ec50,Eluru,11/06/2024,Yes,,Stocking,Praveen,,,,Grow-out,2823.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,200.0,,,,,,,,,2823,,2823.0,,0.0,,,,,,0,,,,,,,,,,,03/20/2025 07:26
ara2_3ed4df8e,Eluru,11/05/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,30500,,0,,1,The farmer is planning to apply animal manure and exchange water.,,,12/11/2024 08:48
ara2_7b2b4994,Eluru,11/05/2024,Yes,,Stocking,Praveen,,,,Grow-out,1737.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,400.0,,,,,,,,,1737,,1737.0,,0.0,,,,,,0,,,,,,,,,,,03/20/2025 06:13
ara2_6ea8e528,Nellore,11/03/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,760.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,7000,,0,,1,Sun dry the pond bottom and add bleach,,,12/13/2024 02:53
ara2_346e897c,Eluru,11/02/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,Rohu (Labeo rohita),,,,100.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,5000,,0,,0,,,,11/06/2024 06:46
ara2_7dc637c3,Eluru,11/01/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1400.0,3000.0,1300.0,,,,,,,,,,,,,,,,,,,Planned harvest,65000,,0,,0,,,,11/06/2024 07:13
ara2_e74f26b3,Eluru,10/30/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2530.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,264.0,400.0,250.0,,,,,,,2530,42000.0,2530.0,42000.0,0.0,,,,,,1,The farmer applied soil probiotic to clean the pond bottom.,,,,,,,,,,11/28/2024 06:38
ara2_ca187575,Eluru,10/30/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Breed-out,5814.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,100.0,200.0,100.0,,,,,,,5814,100000.0,5814.0,100000.0,0.0,,,,,,1,The farmer did water treatment before stocking.,,,,,,,,,,11/25/2024 10:39
ara2_94eeabd8,Eluru,10/26/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1238.0,2500.0,1100.0,,,,,,,,,,,,,,,,,,,Planned harvest,160000,,0,,1,The farmer is planning to exchange the water in the pond and do the water treatment.,,,11/28/2024 07:31
ara2_a0d5d74d,Eluru,10/25/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,10500,,0,,1,The farmer is planning to do the water treatment before stocking again.,,,11/25/2024 10:59
ara2_7ed0eacc,Nellore,10/24/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,,0.0,,Roopchand,,,,900.0,,,,,,900.0,,,,,,,,,,,,,,,Planned harvest,1800,,0,,1,Sun dry the pond bottom,,,10/28/2024 04:52
ara2_8232649d,Eluru,10/22/2024,Yes,,Stocking,Praveen,,,,Grow-out,2494.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,200.0,,,,,,,,,2494,,2494.0,,0.0,,,,,,0,,,,,,,,,,,02/28/2025 06:04
ara2_4441fb4f,Eluru,10/22/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Rearing,175438.0,,Rohu (Labeo rohita),10:0,,,10.0,,,,,,,,,175438,500000.0,175438.0,500000.0,0.0,,,,,,1,"The farmer has applied water probiotics, sanitizer, and cow dung.",,,,,,,,,,10/24/2024 12:29
ara2_9d82e6a0,Eluru,10/21/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1143.0,2500.0,1000.0,,,,,,,,,,,,,,,,,,,Planned harvest,80000,,0,,1,The farmer is planning to exchange the water in the pond.,,,11/28/2024 07:28
ara2_d19ebe54,Eluru,10/21/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,5500,,0,,0,,,,11/14/2024 09:13
ara2_d891f276,Eluru,10/20/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1500.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,60000,,0,,1,The farmer is planning to sun-dry the pond and repair the dikes before stocking again.,,,01/23/2025 06:07
ara2_0b0bdb08,Nellore,10/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2762.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,,,100.0,,,,,,,,,2762,5000.0,2762.0,5000.0,0.0,,,,,,1,Sun dried the pond bottom ,,,,,,,,,,10/29/2024 11:15
ara2_1fd0d0ae,Eluru,10/18/2024,Yes,,Stocking,Praveen,,,,Breed-out,7333.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,12000.0,50.0,,,,,,,,,7333,,7333.0,,0.0,,,,,,0,,,,,,,,,,,02/07/2025 06:35
ara2_70271685,Eluru,10/18/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,350.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,0,,0,,,,10/25/2024 07:39
ara2_e74f26b3,Eluru,10/16/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1250.0,2500.0,1100.0,,,,,,,,,,,,,,,,,,,Planned harvest,50000,,0,,1,The farmer is planning to apply soil probiotic to clean the pond bottom.,,,11/28/2024 06:35
ara2_c9cdacda,Eluru,10/15/2024,Yes,Treatment,Stocking,Praveen,,,,Breed-out,5263.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,50.0,,,,,,,,,5263,,5263.0,,0.0,,,,,,0,,,,,,,,,,,01/07/2025 07:39
ara2_f5dabd1c,Eluru,10/14/2024,Yes,,Stocking,Praveen,,,,Grow-out,2430.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,250.0,,,,,,,,,2430,,2430.0,,0.0,,,,,,0,,,,,,,,,,,04/02/2025 06:50
ara2_3eab831e,Eluru,10/13/2024,Yes,,Stocking,Praveen,,,,Breed-out,7327.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,50.0,,,,,,,,,7327,,7327.0,,0.0,,,,,,0,,,,,,,,,,,01/24/2025 09:53
ara2_86d250a3,Eluru,10/11/2024,Yes,,Stocking,Praveen,,,,Grow-out,1600.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,110.0,,,,,,,,,1600,,1600.0,,0.0,,,,,,0,,,,,,,,,,,01/24/2025 09:39
ara2_aa21af30,Eluru,10/10/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2364.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,220.0,450.0,200.0,,,,,,,2364,39000.0,2364.0,39000.0,0.0,,,,,,1,The farmer has used water sanitizer before stocking.,,,,,,,,,,10/25/2024 07:25
ara2_4441fb4f,Eluru,10/10/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,400.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,3000,,0,,1,The farmer has applied water Sanitizer and water probiotics.  ,,,10/24/2024 12:24
ara2_249e0180,Eluru,10/09/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1270.0,2000.0,1200.0,,,,,,,,,,,,,,,,,,,Planned harvest,140000,,0,,1,The farmer is planning to sundry the pond and do the pond preparation.,,,12/05/2024 05:43
ara2_0f143c64,Eluru,10/08/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Breed-out,7576.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,50.0,,,,,,,,,7576,50000.0,7576.0,50000.0,0.0,,,,,,0,,,,,,,,,,,10/24/2024 13:19
ara2_957cbe38,Eluru,10/06/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,980.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,10500,,0,,1,Drying the pond and cleaning the pond bottom.,,,10/25/2024 07:37
ara2_bf024850,Eluru,10/05/2024,Yes,Treatment,Stocking,Praveen,,,,Grow-out,2886.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,200.0,600.0,200.0,,,,,,,2886,,2886.0,,0.0,,,,,,0,,,,,,,,,,,11/06/2024 08:32
ara2_970ce848,Eluru,10/03/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1100.0,2000.0,1000.0,,,,,,,,,,,,,,,,,,,Planned harvest,65000,,0,,1,The farmer is planning to do the water treatment and clean the dikes.,,,11/28/2024 06:27
ara2_aa21af30,Eluru,10/02/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1370.0,2500.0,1300.0,,,,,,,,,,,,,,,,,,,Planned harvest,55000,,0,,1,The farmer is planning to use water sanitizer.,,,10/25/2024 07:20
ara2_29c9448f,Eluru,09/30/2024,Yes,,Stocking,Praveen,,,,Breed-out,15000.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,40.0,,,,,,,,,15000,,15000.0,,0.0,,,,,,0,,,,,,,,,,,04/02/2025 06:53
ara2_0c7bd285,Nellore,09/28/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3448.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,100.0,100.0,100.0,,,,,,,3448,7000.0,3448.0,7000.0,0.0,,,,,,1,Sun dried the pond bottom and added lime,,,,,,,,,,10/28/2024 06:08
ara2_0d53cd07,Nellore,09/28/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,,0.0,,Roopchand,,,,700.0,,,,,,700.0,,,,,,,,,,,,,,,Planned harvest,5300,,0,,0,,,,10/28/2024 04:45
ara2_98d96403,Nellore,09/28/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,,0.0,,Roopchand,,,,800.0,,,,,,800.0,,,,,,,,,,,,,,,Planned harvest,2200,,0,,0,,,,10/28/2024 04:42
ara2_1d5dce9e,Eluru,09/28/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,310.0,800.0,300.0,,,,,,,,,,,,,,,,,,,Planned harvest,10000,,0,,0,,,,10/25/2024 07:33
ara2_fea90a74,Eluru,09/27/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2358.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,260.0,450.0,250.0,,,,,,,2358,50000.0,2358.0,50000.0,0.0,,,,,,0,,,,,,,,,,,12/06/2024 06:35
ara2_3587929e,Nellore,09/26/2024,No,Treatment,Harvest,Chaitanya,Farmer sent us a picture of the receipt,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita), Grass Carp (Ctenopharyngodon idella)",,,,750.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,2047,,0,,1,Sun dried the pond and added bleach,,,10/28/2024 04:39
ara2_6452000e,Eluru,09/25/2024,Yes,Treatment,Stocking,Praveen,,,,,,,"Catla (Catla catla), Rohu (Labeo rohita)",9.3:0.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,10/15/2024 10:42
ara2_bddfa227,Nellore,09/24/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,800.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,2040,,0,,1,Sun dried the pond bottom and removed the sludge,,,10/28/2024 04:48
ara2_fea90a74,Eluru,09/20/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,730.0,1200.0,700.0,,,,,,,,,,,,,,,,,,,Planned harvest,45000,,0,,0,,,,12/06/2024 06:31
ara2_d9e114a2,Eluru,09/20/2024,No,,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,44000,,0,,1,The farmer is planning to sun dry the pond before stocking again.,,,11/25/2024 10:23
ara2_c2394795,Eluru,09/20/2024,Yes,Treatment,Stocking,Praveen,,,,,12222.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,,,,,,,,,,12222,,12222.0,,0.0,,,,,,0,,,,,,,,,,,10/15/2024 10:38
ara2_6857ac3f,Eluru,09/18/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,280.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,8500,,0,,1,The farmer is planning to add new water to the pond before stocking again.,,,12/06/2024 07:57
ara2_ca187575,Eluru,09/17/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,400.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,40000,,0,,1,The farmer is planning to do the water treatment before stocking again.,,,11/25/2024 10:34
ara2_e985ca4a,Eluru,09/15/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Breed-out,5978.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,114.0,250.0,100.0,,,,,,,5978,44000.0,5978.0,44000.0,0.0,,,,,,0,,,,,,,,,,,09/18/2024 09:45
ara2_25585dd3,Eluru,09/05/2024,Yes,Treatment,Stocking,Praveen,,,,,2105.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,,,,,,,,,,2105,,2105.0,,0.0,,,,,,1,The farmer did the wet pond preparation. He treated the water with ProPS (for bottom treatment) and before stocking he applied fermentation juice.,,,,,,,,,,09/19/2024 04:16
ara2_55de7689,Eluru,09/03/2024,Yes,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2128.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9.4:0.6,,,160.0,250.0,150.0,,,,,,,2128,50000.0,2128.0,50000.0,0.0,,,,,,0,,,,,,,,,,,10/15/2024 11:21
ara2_93b6516f,Eluru,08/28/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,600.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,58000,,0,,1,The farmer is drying the pond before stocking for the next cycle.,,,11/06/2024 06:41
ara2_b0010581,Nellore,08/28/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,42980.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,5.0,,,,,,,,,42980,150000.0,42980.0,150000.0,0.0,,,,,,1,"Sun dried the pond bottom, removed sludge",,,,,,,,,,10/28/2024 05:48
ara2_2e53f20a,Eluru,08/26/2024,Yes,,Stocking,Praveen,,,,Grow-out,1425.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,2000.0,1500.0,250.0,,,,,,,,,1425,,1425.0,,0.0,,,,,,0,,,,,,,,,,,04/02/2025 06:47
ara2_ac267ebf,Eluru,08/26/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1100.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,98000,,0,,0,,The lease is over and the farmer has left the pond.,,09/25/2024 05:23
ara2_1d54882b,Nellore,08/25/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2321.0,,"Roopchand, Catla (Catla catla)",9.5:0.5,,,400.0,,,,,,,,,3214,9000.0,2321.0,6500.0,2500.0,,,,,,1,Sun dried the bottom and ploughed,,,,,,,,,Yes,10/28/2024 06:10
ara2_4f79fc8d,Eluru,08/25/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,47000,,0,,0,,,,09/27/2024 04:42
ara2_1f1af1d7,Eluru,08/24/2024,Yes,Treatment,Stocking,Chaitanya,,,,,5278.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,,,,,,,,,,5278,,5278.0,,0.0,,,,,,0,,,,,,,,,,,09/01/2024 10:33
ara2_30f18320,Eluru,08/24/2024,Yes,Treatment,Stocking,Chaitanya,,,,,6364.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,,,,,,,,,,6364,,6364.0,,0.0,,,,,,0,,,,,,,,,,,09/01/2024 10:28
ara2_51ee6ab1,Nellore,08/23/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,909.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,100.0,,100.0,,,,,,,909,1500.0,909.0,1500.0,0.0,,,,,,1,Sun dried the pond bottom,,,,,,,,,,10/28/2024 06:31
ara2_e985ca4a,Eluru,08/23/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,364.0,400.0,250.0,,,,,,,,,,,,,,,,,,,Planned harvest,16000,,0,,0,,,,09/14/2024 04:02
ara2_31afc592,Eluru,08/23/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2721.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,364.0,400.0,250.0,,,,,,,2721,44000.0,2721.0,44000.0,0.0,,,,,,0,,,,,,,,,,,09/14/2024 03:54
ara2_b245aae1,Eluru,08/21/2024,Yes,Treatment,Stocking,Praveen,,,,Grow-out,1765.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,100.0,,,,,,,,,1765,,1765.0,,0.0,,,,,,0,,,,,,,,,,,01/07/2025 07:42
ara2_18808778,Eluru,08/21/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,20400,,0,,0,,,,09/27/2024 04:32
ara2_83b11f44,Nellore,08/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3017.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,80.0,,80.0,,,,,,,3017,7000.0,3017.0,7000.0,0.0,,,,,,1,Sun dried the pond bottom,,,,,,,,,,10/28/2024 06:28
ara2_50c225c4,Nellore,08/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3521.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,80.0,,80.0,,,,,,,3521,5000.0,3521.0,5000.0,0.0,,,,,,1,Sun dried the pond bottom,,,,,,,,,,10/28/2024 06:25
ara2_fc999d29,Nellore,08/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3356.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,80.0,,80.0,,,,,,,3356,5000.0,3356.0,5000.0,0.0,,,,,,1,Sun dried the pond bottom,,,,,,,,,,10/28/2024 06:19
ara2_d0d5f943,Nellore,08/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3788.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,80.0,,80.0,,,,,,,3788,2500.0,3788.0,2500.0,0.0,,,,,,1,Sun dried the pond bottom,,,,,,,,,,10/28/2024 06:14
ara2_ea9c93a5,Nellore,08/20/2024,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3070.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,100.0,100.0,100.0,,,,,,,3070,14000.0,3070.0,14000.0,0.0,,,,,,1,"Sun dried, ploughed and removed sludge",,,,,,,,,,10/28/2024 05:52
ara2_1e1aa1ce,Eluru,08/19/2024,Yes,Treatment,Stocking,Praveen,,,,Breed-out,9740.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,50.0,,,,,,,,,9740,,9740.0,,0.0,,,,,,0,,,,,,,,,,,01/07/2025 07:30
ara2_0f143c64,Eluru,08/19/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,4500,,0,,0,,The farmer reported that there have been some mortalities during the cycle.,,09/27/2024 04:47
ara2_65a854d9,Nellore,08/18/2024,No,Treatment,Harvest,Chaitanya,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,850.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,16200,,0,,1,"Sun dried the pond bottom, cleared the sludge and strengthened the dykes",,,10/28/2024 04:29
ara2_31afc592,Eluru,08/16/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1600.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,70000,,0,,0,,,,09/14/2024 03:46
ara2_b0a9aa2d,Eluru,08/15/2024,Yes,,Stocking,Praveen,,,,Grow-out,2133.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,200.0,,,,,,,,,2133,,2133.0,,0.0,,,,,,0,,,,,,,,,,,03/20/2025 07:30
ara2_8cf52ce5,Eluru,08/15/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Breed-out,17000.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,,,40.0,,,,,,,,,17000,17000.0,17000.0,17000.0,0.0,,,,,,0,,,,,,,,,,,09/10/2024 07:23
ara2_725e7f3b,Eluru,08/13/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2957.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9.4:0.6,,,312.0,500.0,300.0,,,,,,,2704,64000.0,2957.0,64000.0,0.0,,,,,,0,,,,,,,,,"Farmer reported that 6,000 (253 per acre) fishes escaped during the previous harvest and are thus left in the pond. The SD was 2704 but with the leftover fishes it's 2,957.",,09/14/2024 04:22
ara2_a90d90d1,Eluru,08/11/2024,No,Treatment,Harvest,Praveen,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,500.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,79000,,0,,0,,,,01/23/2025 05:53
